model,source_user_id,history_bucket,category_entropy_bucket,unique_category_count,category_entropy
SASRec,0b940cc60cad617de9d7ac2726e61b7b1c946c5cbb6008cdfbf36ee70b8004d3,6-10,low,16,2.736339051105066
SASRec,0bbd6877ce2aa59c69c173fb385ae7de3a3661c349d77209252d67af76579d84,11-20,high,13,2.5232109529528914
SASRec,0bc1fbd81883812acedf2dc3522bc905803faef99decf858d53ad80132e649ab,1-5,low,17,2.833213344056216
SASRec,0bc335a191a8a1adba913cc96ae7018d65a667bae32968ae4022aa3956d405d6,1-5,low,16,2.736339051105066
SASRec,0bd4d9b53a7a5d37684ba0ca18633647f5e5111b0ea60e422edfd28c8b036c21,1-5,high,18,2.890371757896165
SASRec,0be46dad9b12b32150495bde23d0c4b759e469d97bc2b1519dea000f520f1407,1-5,mid,13,2.54003630382098
SASRec,0c56e63b4d61517ccd78bcf4e9661815e8ff252c7e54692a2ea634f34471ad9d,11-20,high,14,2.639057329615258
SASRec,0c9a6e7fb0e8d00bf0d9d244679d530cd71b274fac625bf313362d29fbbf660a,1-5,low,16,2.7072697097848133
SASRec,0cc86e472111d5e52a68ac989b4fd6fd75fbd953406e2dc37136ebba72ffa0fe,6-10,high,17,2.833213344056216
SASRec,0cf7ecb7544bf9737dd3d1fc08dfcc16c9c901e90c4228e190c945f89365d87f,6-10,high,15,2.685945324669788
SASRec,0cfa7689c39a035cd57ef84e6e4fcf4119a2a37aeaa1ab1792e0cd43ad70ba1e,6-10,mid,14,2.615630577027551
SASRec,0cfbe4cc3832c5b18bb1c544e1c1ec34591d4038d5a459776fb84c7caaf078e0,6-10,high,17,2.8133554045006157
SASRec,0d00efde8eee56a47a6b6af7c7f8f6e53a15218e75ad7de54bd80d4de73c08f7,1-5,low,14,2.5665989181145106
SASRec,0d03c8930997d6e68db95f882a3a31ae511d25ce5c0b2e9c48dc974df8e4662d,6-10,high,17,2.798513256943294
SASRec,0d06906556f99814d6458aff278f28f27684737c563de4f91092b88957c2329f,6-10,high,14,2.639057329615258
SASRec,0d2250989b2906bf4c21ad182c95adfb1ed902dc038e32762652db2ff1db2f53,11-20,high,14,2.615630577027551
SASRec,0d4096a115c5338d9ad9845e25249d9dcf69df0d7a6f54b832e33faaa47f2ae2,1-5,low,16,2.7516666169315167
SASRec,0d5de374afacc73f6a9ec44abfdebd8862f2d5d031e0e4875eae8804383024a4,6-10,high,16,2.7516666169315167
SASRec,0d82a245e33029356b31509d0e72f78f4ab4141a6c9b9596441662518b57359a,21+,high,17,2.833213344056216
SASRec,0dc082946d05c2a537a7cc9f33d5cae29e999f2d148be47e21a313db144df9a0,21+,high,14,2.599301927099795
SASRec,0e059b42985e943c53d30c8fe0470868966211f0c411f6c04a5953e088eee111,11-20,high,17,2.833213344056216
SASRec,0e48a3c847281518bbfa09bff2a1b230c15ba021871627f6996cb2c08a1c08fa,11-20,high,17,2.798513256943294
SASRec,0e95b660738038f3e08fb3c3488642baa065047948c36c4a29dd5262df194d72,21+,high,14,2.582306344313967
SASRec,0ec44b1c44fede4a69add706d8992218ad6e79b834b41c7895441f962730d575,11-20,high,15,2.685945324669788
SASRec,0efeb6e89b8beddf86595cad1f5159212874b743aebd21de44cf9af0fcad8e1c,21+,high,15,2.685945324669788
SASRec,0f54c411ca865b81c65207ffa955bcda2d8b452cc994a57f9994b567e7f3b5f9,1-5,mid,17,2.798513256943294
SASRec,0f5849479fb11da06e9b97dbf0dea044fb04eee74c04adb65a829624eed04799,11-20,high,18,2.871476118054867
SASRec,0f7ce3aed7a7be814a07d4dd0f35eba4f3d7fe91d0baee0a904e1aa0840bdb7c,1-5,low,16,2.7516666169315167
SASRec,1038f1b5568abb317c8bc0f1e401d81d1ab5511c41dbe42df91c90f27bcd5f5b,1-5,low,18,2.890371757896165
SASRec,103eb1c6ea0ddbac641a2b3f68795185d962d6ac71077c05837705fbc37f80b9,6-10,low,14,2.615630577027551
SASRec,109dc0114c77917e572ff87ecd6cd4ffa5b6099ce5bcf3a4a2b501fed66e544e,21+,high,15,2.6393405872324323
SASRec,10a72807d627ec77b9faad32bf9af0049d4bac4550986490fa9a517a3526bda2,1-5,mid,17,2.8133554045006157
SASRec,10e2c45051f6bbaa8b4c12b1eb89c5993994b98a3b98ad78dfbda4719de52423,1-5,mid,14,2.615630577027551
SASRec,11181244f3f0275e9c4209db8c2822520872d7a51e358072cf0f7d030c4d74ab,21+,high,13,2.4799555205445176
SASRec,111dd91c7f827034ba986ed82f3f138874c338a69505ae46cb493a60522d0493,1-5,mid,14,2.615630577027551
SASRec,112262013ccb818eacc42ebbfbd72336ab39da935782d7b512a016b4d2efb4a4,1-5,low,15,2.685945324669788
SASRec,115c674c0b1e4e7e81bd85d6a8213ad9a5ede8af2d4fce4b7b1170c3cd3f4605,1-5,low,15,2.6302533563892636
SASRec,11734dc19d935fae27df572dc0f8deae7bd3be770aff2359c1ee810f98a08e0f,21+,high,17,2.833213344056216
SASRec,11c87b3430bc082fe7766fc65efc4e84091197a4c38b66e09833b1ae8c90b4b6,6-10,high,16,2.772588722239781
SASRec,11e57604ed639fa0cc72a488185aff67c4d4db57f0b55bf3dce71d6c71496c01,6-10,high,12,2.484906649788001
SASRec,1212f448b1bad8fc46b7bb1afd39328cdc05946540af64c0bb42cabc782445be,11-20,high,14,2.599301927099795
SASRec,1235a2fb6e3c554da92daba0ccf575252151cc44d31cfa02857acee6d97bd7d9,21+,high,19,2.9264175554979968
SASRec,127494190ed230f0f3f15a0da275ea1303af4ddf7cfada52d2b7e1d2995b8470,1-5,low,15,2.685945324669788
SASRec,127aefcef45789d2d27579dddff60ab05cd806610ef6b372e52098745a77f494,6-10,low,16,2.7516666169315167
SASRec,1282eb2781c411859c77ed6658ee362c2f81bb2c99eea307c1a9dd3522605941,6-10,mid,19,2.9444389791664403
SASRec,12941ab523e691e7c06327a46658a274e254139590eb7f48cf7e1edfd035ae64,21+,high,17,2.8133554045006157
SASRec,12a984e269bd2e2fee3a773c4ba894f528d986595f86d53b2b0c68cd95a8aeea,6-10,high,17,2.798513256943294
SASRec,12b303c8522816cc48acaccb90b4365596d33635f943b207d24080ba0f4dd506,6-10,high,13,2.512658529529802
SASRec,130d4d49dde37a40f318941392f78b367183ec1a91cf981876061f93cd799c96,6-10,high,17,2.833213344056216
SASRec,139214fb20b4efe7b21b6950dedcecdbab136ca1172767b9b0b599922f349701,11-20,high,18,2.871476118054867
SASRec,13a41fa5d732e8f3b65914fea273629fe6acbdd7675c477205b594f2a982638e,21+,high,14,2.615630577027551
SASRec,13b4951d43e84029c9d6bec584266530eae4ca54c26f2976f31f23fecc5c1ed1,21+,high,14,2.615630577027551
SASRec,13bca892a8c9c473770f04aabf051fff655b09d2e528c3309fce4787c4c89173,21+,high,16,2.772588722239781
SASRec,13e40312d421fd60e137de528c75f248560c4900f913ddceeb7847632b6d7068,6-10,high,13,2.5232109529528914
SASRec,13e8bf72ade06a59fc6bc0dd963bcdbdec8be999a58e9b7f8297e7b681001b13,6-10,high,18,2.890371757896165
SASRec,13f363f488c2516e001fc15cd9ca1c39d260b33f9847b61bea48a6e026eb314d,1-5,high,16,2.7255503958317213
SASRec,1440b33d64e630ba8c76eb5288e8856de2031e372b4f129841e9b9af90eeb65e,6-10,high,18,2.890371757896165
SASRec,14542059d21a8ce0244e55a3ada44edbdf73be48f04fb9a63fa2ff420b92effb,11-20,high,19,2.9444389791664403
SASRec,1468276c4f58998511b2dadab66234cd9030e17c85db92b655c91ae5396f7f7d,11-20,high,16,2.772588722239781
SASRec,147a15bbdfbaf47ab0b0d0d2eab04658afbe829b77fb54f3d251d027e238b015,11-20,high,16,2.7516666169315167
SASRec,147afe5f58bdf6f26334e4e2670ac5cad517c87010dd4d6d3ba978d76afa8824,21+,high,17,2.8133554045006157
SASRec,148201f23af5c22438fd62595954cf7533773dbe5cb52b5e3f7a7503d9241c87,21+,high,14,2.615630577027551
SASRec,148e6715b044c4791e462e95edcb03bf3e869bf3f189d7f79cdc79a5463bb98c,1-5,low,14,2.599301927099795
SASRec,1496e26007671b62ba3a2ede5c354993140977265e405b20df7f6812819c3204,6-10,high,17,2.833213344056216
SASRec,14b21ae157603baa031e9440faa98c58d0745025285faa21d127c6e116452758,1-5,low,15,2.659322697709517
SASRec,14d7c5dae7351c9edce27954bdcddca3c02f105341d3ea8bb975c7ef7f9a7c5a,1-5,low,17,2.833213344056216
SASRec,15305d78413b8248085171cf747081345454aa558e942f3345c13680e95559bb,6-10,mid,18,2.890371757896165
SASRec,153f42630793485c6692918e5b6d13466ff577d1bd663215ea7c4492692309f0,1-5,mid,13,2.4799555205445176
SASRec,15a9a5a254b7d63c1033f1813a29afb73fda1e2a2cd46779377ebfbc6b301cf3,6-10,high,18,2.890371757896165
SASRec,15b9fb3fc89f82963621f29da5930d3df6b059324f3d86faddaf577ffa5de8b2,11-20,high,18,2.890371757896165
SASRec,15bf4142a79c307bcb887d88f99bb824bbe028a28ac344d97fa5f93e9238ac02,11-20,high,15,2.685945324669788
SASRec,15cb16212a48ec90dc3e9006f8f647364494b2c1ec7b9852b513c16aa7f510fc,1-5,low,16,2.6525875347201477
SASRec,15eb408f4e91c11f86e4800a6957a90f071a16c1bf2fc7c70079a4c9dbb6a2eb,1-5,mid,18,2.871476118054867
SASRec,15ff006938c4eaa84a03727e0c7ffc259976a4a6519cafbb7c3212b152037e15,21+,high,14,2.639057329615258
SASRec,161afe62668c5be4c5b2771b3551c00d60f57f03096080bc9f57b51dd71a04c3,21+,high,15,2.670119889806817
SASRec,162acbe130377e612a3954989b14c2c7d76e100ab4189b1795153e0d5a2a8b58,21+,high,15,2.670119889806817
SASRec,164b2311ccc650bb6614f5be9c11065f509fdefc57ed3eeebd85a00f3a486238,21+,high,14,2.639057329615258
SASRec,166994dd84ee75850d7e38b0db3e05e86d554d7c18fcffd8b04cf9abb1bfca89,21+,high,16,2.772588722239781
SASRec,16a1d3c504985ef60bda6bb2dc68eb0b97820906e7a77bc82c4d3115f80a09e4,1-5,low,17,2.833213344056216
SASRec,16aa3109c42ce6d4665e5cd98189c0a4f9e473446bbf1408b602fbf0a5703496,6-10,mid,14,2.615630577027551
SASRec,16ade72f5f8359d7e42bff5d013c98233d3b1c1e30e705bc10217056469c1b41,1-5,low,20,2.995732273553991
SASRec,16b7eabc3705104716a0549955daba15f9c73b921a720a312e0456135f17149c,21+,high,16,2.736339051105066
SASRec,16e8ea27a49e40a2c26bfa8098b127b6918d862987d0453e294177d44f1bbf6b,11-20,high,16,2.7516666169315167
SASRec,171701f362e2c92d5a4d9bd4213170e9cb64dd7d43be933a5c5418e61a466afc,6-10,high,13,2.5232109529528914
SASRec,1735c32c64b5294841e63a86184e9b1d62b77e07b6ecd68aaedf951f690b06b8,11-20,high,18,2.871476118054867
SASRec,1744b0cd966e7c0dcb977bffd98754d2804a7b22b40bd2642e7aa00e4f6b5dd3,11-20,high,12,2.4260151319598084
SASRec,177013f46932def5c88b310275536e5c953a2fb61626617cb56267c21c634408,1-5,mid,16,2.736339051105066
SASRec,178763aa6ee7d457d837c55778a3c8c77a27c7c8f4fcd72f184684d748766f30,6-10,high,17,2.833213344056216
SASRec,17f8543c48108c19df5fe01eb1d1073e867dade29b46cb921820d34b9d1525ab,21+,high,17,2.833213344056216
SASRec,181c6de01fe7361fba5070b2599d8dc87bf2234bf68b1eb0b6de8b43c2ec2416,11-20,high,15,2.70805020110221
SASRec,1830edc5db1ba0ab6d2a85d4300ed5f8d6498a158851343df8d064e6d2c87427,6-10,high,16,2.7516666169315167
SASRec,187f4d0c61465a3fe044f1d206c00cc39b53399d9476067b6a28aea8f77fc70c,1-5,low,14,2.615630577027551
SASRec,187f73c4d2370bc7ba1e3845d3931c40f917f7bfb62b8c13c92a00632f928623,11-20,high,16,2.736339051105066
SASRec,18ede7cbf4252f974f0411cdc05b178d96d9cb291fb0cf22b0a5c73d9264cfaa,11-20,high,15,2.70805020110221
SASRec,18ef06365cfbbfeb17e2d801de726551c5663a2e1037304e3df60383eb63f2df,21+,high,18,2.871476118054867
SASRec,1902f1d1f772746a591b54dd3526b3aea6118d3f9a1d645a876e05d4b301f127,1-5,low,16,2.7516666169315167
SASRec,190f38bdfa2c0591d1d23f68b57cd2fb644ebaa314c178509de04a9c2c34ee07,21+,high,11,2.3693821196946763
SASRec,19209155193ec7dd30533e1e6b32bda767c731c6a33e9a92df510f6f72caabac,6-10,high,14,2.615630577027551
SASRec,1964a8248f16d99f5613d2e374a37d373ebbcc11d5cfb28f167e61fda8323984,6-10,high,15,2.685945324669788
SASRec,19a7831b8a047f4f01f829d335842ed9030b08e5cdb26a630ee1cc4d3e8c40a9,11-20,high,13,2.4799555205445176
SASRec,19a9737f17598a98da425422a48980d0f0aa1516a3fe52f17fba1d47af4d8376,1-5,high,15,2.70805020110221
SASRec,19b332bf49a15cfdd4d1a05fe448489b12d5698426ed28b7a18a3049a9e988a2,6-10,mid,17,2.833213344056216
SASRec,19fc5a9353426747f6c0121b3f12c94f703842af2d780334c03392eda7721798,6-10,high,15,2.685945324669788
SASRec,1a099caa5391e2cb0e1d5bfe1961c12d360302982d784147c7e26113d8705c8a,1-5,low,17,2.833213344056216
SASRec,1a6e0d02d28efd74b66c380baca21f51da180e3b8ea991aedc719063ee2ac694,21+,high,15,2.685945324669788
